title,id,arxiv_url,published,summary,citations
GroupContrast: Semantic-aware Self-supervised Representation Learning for 3D Understanding,2403.09639v1,http://arxiv.org/abs/2403.09639v1,2024-03-14 17:59:59+00:00,"Self-supervised 3D representation learning aims to learn effective
representations from large-scale unlabeled point clouds. Most existing
approaches adopt point discrimination as the pretext task, which assigns
matched points in two distinct views as positive pairs and unmatched points as
negative pairs. However, this approach often results in semantically identical
points having dissimilar representations, leading to a high number of false
negatives and introducing a ""semantic conflict"" problem. To address this issue,
we propose GroupContrast, a novel approach that combines segment grouping and
semantic-aware contrastive learning. Segment grouping partitions points into
semantically meaningful regions, which enhances semantic coherence and provides
semantic guidance for the subsequent contrastive representation learning.
Semantic-aware contrastive learning augments the semantic information extracted
from segment grouping and helps to alleviate the issue of ""semantic conflict"".
We conducted extensive experiments on multiple 3D scene understanding tasks.
The results demonstrate that GroupContrast learns semantically meaningful
representations and achieves promising transfer learning performance.",0
Which LLM to Play? Convergence-Aware Online Model Selection with Time-Increasing Bandits,2403.07213v1,http://arxiv.org/abs/2403.07213v1,2024-03-11 23:52:46+00:00,"Web-based applications such as chatbots, search engines and news
recommendations continue to grow in scale and complexity with the recent surge
in the adoption of LLMs. Online model selection has thus garnered increasing
attention due to the need to choose the best model among a diverse set while
balancing task reward and exploration cost. Organizations faces decisions like
whether to employ a costly API-based LLM or a locally finetuned small LLM,
weighing cost against performance. Traditional selection methods often evaluate
every candidate model before choosing one, which are becoming impractical given
the rising costs of training and finetuning LLMs. Moreover, it is undesirable
to allocate excessive resources towards exploring poor-performing models. While
some recent works leverage online bandit algorithm to manage such
exploration-exploitation trade-off in model selection, they tend to overlook
the increasing-then-converging trend in model performances as the model is
iteratively finetuned, leading to less accurate predictions and suboptimal
model selections.
  In this paper, we propose a time-increasing bandit algorithm TI-UCB, which
effectively predicts the increase of model performances due to finetuning and
efficiently balances exploration and exploitation in model selection. To
further capture the converging points of models, we develop a change detection
mechanism by comparing consecutive increase predictions. We theoretically prove
that our algorithm achieves a logarithmic regret upper bound in a typical
increasing bandit setting, which implies a fast convergence rate. The advantage
of our method is also empirically validated through extensive experiments on
classification model selection and online selection of LLMs. Our results
highlight the importance of utilizing increasing-then-converging pattern for
more efficient and economic model selection in the deployment of LLMs.",0
Towards Zero-shot Human-Object Interaction Detection via Vision-Language Integration,2403.07246v1,http://arxiv.org/abs/2403.07246v1,2024-03-12 02:07:23+00:00,"Human-object interaction (HOI) detection aims to locate human-object pairs
and identify their interaction categories in images. Most existing methods
primarily focus on supervised learning, which relies on extensive manual HOI
annotations. In this paper, we propose a novel framework, termed Knowledge
Integration to HOI (KI2HOI), that effectively integrates the knowledge of
visual-language model to improve zero-shot HOI detection. Specifically, the
verb feature learning module is designed based on visual semantics, by
employing the verb extraction decoder to convert corresponding verb queries
into interaction-specific category representations. We develop an effective
additive self-attention mechanism to generate more comprehensive visual
representations. Moreover, the innovative interaction representation decoder
effectively extracts informative regions by integrating spatial and visual
feature information through a cross-attention mechanism. To deal with zero-shot
learning in low-data, we leverage a priori knowledge from the CLIP text encoder
to initialize the linear classifier for enhanced interaction understanding.
Extensive experiments conducted on the mainstream HICO-DET and V-COCO datasets
demonstrate that our model outperforms the previous methods in various
zero-shot and full-supervised settings.",0
Dataset Condensation for Time Series Classification via Dual Domain Matching,2403.07245v1,http://arxiv.org/abs/2403.07245v1,2024-03-12 02:05:06+00:00,"Time series data has been demonstrated to be crucial in various research
fields. The management of large quantities of time series data presents
challenges in terms of deep learning tasks, particularly for training a deep
neural network. Recently, a technique named \textit{Dataset Condensation} has
emerged as a solution to this problem. This technique generates a smaller
synthetic dataset that has comparable performance to the full real dataset in
downstream tasks such as classification. However, previous methods are
primarily designed for image and graph datasets, and directly adapting them to
the time series dataset leads to suboptimal performance due to their inability
to effectively leverage the rich information inherent in time series data,
particularly in the frequency domain. In this paper, we propose a novel
framework named Dataset \textit{\textbf{Cond}}ensation for
\textit{\textbf{T}}ime \textit{\textbf{S}}eries
\textit{\textbf{C}}lassification via Dual Domain Matching (\textbf{CondTSC})
which focuses on the time series classification dataset condensation task.
Different from previous methods, our proposed framework aims to generate a
condensed dataset that matches the surrogate objectives in both the time and
frequency domains. Specifically, CondTSC incorporates multi-view data
augmentation, dual domain training, and dual surrogate objectives to enhance
the dataset condensation process in the time and frequency domains. Through
extensive experiments, we demonstrate the effectiveness of our proposed
framework, which outperforms other baselines and learns a condensed synthetic
dataset that exhibits desirable characteristics such as conforming to the
distribution of the original data.",0
Time-Efficient Light-Field Acquisition Using Coded Aperture and Events,2403.07244v1,http://arxiv.org/abs/2403.07244v1,2024-03-12 02:04:17+00:00,"We propose a computational imaging method for time-efficient light-field
acquisition that combines a coded aperture with an event-based camera.
Different from the conventional coded-aperture imaging method, our method
applies a sequence of coding patterns during a single exposure for an image
frame. The parallax information, which is related to the differences in coding
patterns, is recorded as events. The image frame and events, all of which are
measured in a single exposure, are jointly used to computationally reconstruct
a light field. We also designed an algorithm pipeline for our method that is
end-to-end trainable on the basis of deep optics and compatible with real
camera hardware. We experimentally showed that our method can achieve more
accurate reconstruction than several other imaging methods with a single
exposure. We also developed a hardware prototype with the potential to complete
the measurement on the camera within 22 msec and demonstrated that light fields
from real 3-D scenes can be obtained with convincing visual quality. Our
software and supplementary video are available from our project website.",0
Calibrating Multi-modal Representations: A Pursuit of Group Robustness without Annotations,2403.07241v1,http://arxiv.org/abs/2403.07241v1,2024-03-12 01:47:17+00:00,"Fine-tuning pre-trained vision-language models, like CLIP, has yielded
success on diverse downstream tasks. However, several pain points persist for
this paradigm: (i) directly tuning entire pre-trained models becomes both
time-intensive and computationally costly. Additionally, these tuned models
tend to become highly specialized, limiting their practicality for real-world
deployment; (ii) recent studies indicate that pre-trained vision-language
classifiers may overly depend on spurious features -- patterns that correlate
with the target in training data, but are not related to the true labeling
function; and (iii) existing studies on mitigating the reliance on spurious
features, largely based on the assumption that we can identify such features,
does not provide definitive assurance for real-world applications. As a
piloting study, this work focuses on exploring mitigating the reliance on
spurious features for CLIP without using any group annotation. To this end, we
systematically study the existence of spurious correlation on CLIP and
CILP+ERM. We first, following recent work on Deep Feature Reweighting (DFR),
verify that last-layer retraining can greatly improve group robustness on
pretrained CLIP. In view of them, we advocate a lightweight representation
calibration method for fine-tuning CLIP, by first generating a calibration set
using the pretrained CLIP, and then calibrating representations of samples
within this set through contrastive learning, all without the need for group
labels. Extensive experiments and in-depth visualizations on several benchmarks
validate the effectiveness of our proposals, largely reducing reliance and
significantly boosting the model generalization.",0
Frequency-Aware Deepfake Detection: Improving Generalizability through Frequency Space Learning,2403.07240v1,http://arxiv.org/abs/2403.07240v1,2024-03-12 01:28:00+00:00,"This research addresses the challenge of developing a universal deepfake
detector that can effectively identify unseen deepfake images despite limited
training data. Existing frequency-based paradigms have relied on
frequency-level artifacts introduced during the up-sampling in GAN pipelines to
detect forgeries. However, the rapid advancements in synthesis technology have
led to specific artifacts for each generation model. Consequently, these
detectors have exhibited a lack of proficiency in learning the frequency domain
and tend to overfit to the artifacts present in the training data, leading to
suboptimal performance on unseen sources. To address this issue, we introduce a
novel frequency-aware approach called FreqNet, centered around frequency domain
learning, specifically designed to enhance the generalizability of deepfake
detectors. Our method forces the detector to continuously focus on
high-frequency information, exploiting high-frequency representation of
features across spatial and channel dimensions. Additionally, we incorporate a
straightforward frequency domain learning module to learn source-agnostic
features. It involves convolutional layers applied to both the phase spectrum
and amplitude spectrum between the Fast Fourier Transform (FFT) and Inverse
Fast Fourier Transform (iFFT). Extensive experimentation involving 17 GANs
demonstrates the effectiveness of our proposed method, showcasing
state-of-the-art performance (+9.8\%) while requiring fewer parameters. The
code is available at {\cred
\url{https://github.com/chuangchuangtan/FreqNet-DeepfakeDetection}}.",0
Partial Identification of Individual-Level Parameters Using Aggregate Data in a Nonparametric Binary Outcome Model,2403.07236v1,http://arxiv.org/abs/2403.07236v1,2024-03-12 01:14:35+00:00,"It is well known that the relationship between variables at the individual
level can be different from the relationship between those same variables
aggregated over individuals. This problem of aggregation becomes relevant when
the researcher wants to learn individual-level relationships, but only has
access to data that has been aggregated. In this paper, I develop a methodology
to partially identify linear combinations of conditional average outcomes from
aggregate data when the outcome of interest is binary, while imposing as few
restrictions on the underlying data generating process as possible. I construct
identified sets using an optimization program that allows for researchers to
impose additional shape restrictions. I also provide consistency results and
construct an inference procedure that is valid with aggregate data, which only
provides marginal information about each variable. I apply the methodology to
simulated and real-world data sets and find that the estimated identified sets
are too wide to be useful. This suggests that to obtain useful information from
aggregate data sets about individual-level relationships, researchers must
impose further assumptions that are carefully justified.",0
Tractable Joint Prediction and Planning over Discrete Behavior Modes for Urban Driving,2403.07232v1,http://arxiv.org/abs/2403.07232v1,2024-03-12 01:00:52+00:00,"Significant progress has been made in training multimodal trajectory
forecasting models for autonomous driving. However, effectively integrating
these models with downstream planners and model-based control approaches is
still an open problem. Although these models have conventionally been evaluated
for open-loop prediction, we show that they can be used to parameterize
autoregressive closed-loop models without retraining. We consider recent
trajectory prediction approaches which leverage learned anchor embeddings to
predict multiple trajectories, finding that these anchor embeddings can
parameterize discrete and distinct modes representing high-level driving
behaviors. We propose to perform fully reactive closed-loop planning over these
discrete latent modes, allowing us to tractably model the causal interactions
between agents at each step. We validate our approach on a suite of more
dynamic merging scenarios, finding that our approach avoids the $\textit{frozen
robot problem}$ which is pervasive in conventional planners. Our approach also
outperforms the previous state-of-the-art in CARLA on challenging dense traffic
scenarios when evaluated at realistic speeds.",0
Curry-DPO: Enhancing Alignment using Curriculum Learning & Ranked Preferences,2403.07230v1,http://arxiv.org/abs/2403.07230v1,2024-03-12 00:58:19+00:00,"Direct Preference Optimization (DPO) is an effective technique that leverages
pairwise preference data (usually one chosen and rejected response pair per
user prompt) to align LLMs to human preferences. In practice, multiple
responses can exist for a given prompt with varying quality relative to each
other. With availability of such quality ratings for multiple responses, we
propose utilizing these responses to create multiple preference pairs for a
given prompt. Our work focuses on systematically using the constructed multiple
preference pair in DPO training via curriculum learning methodology. In
particular, we order these multiple pairs of preference data from easy to hard
(emulating curriculum training) according to various criteria. We show detailed
comparisons of our proposed approach to the standard single-pair DPO setting.
Our method, which we call Curry-DPO consistently shows increased performance
gains on MTbench, Vicuna, WizardLM, and the UltraFeedback test set,
highlighting its effectiveness. More specifically, Curry-DPO achieves a score
of 7.43 on MT-bench with Zephy-7B model outperforming majority of existing LLMs
with similar parameter size. Curry-DPO also achieves the highest adjusted win
rates on Vicuna, WizardLM, and UltraFeedback test datasets (90.7%, 87.1%, and
87.9% respectively) in our experiments, with notable gains of upto 7.5% when
compared to standard DPO technique.",0
